Gene type	Gene name	Gene description	NCBI gene (formerly Entrezgene) ID	Gene stable ID version
protein_coding	Armc6	armadillo repeat containing 6 [Source:MGI Symbol;Acc:MGI:1924063]	76813	ENSMUSG00000002343.11
protein_coding	Slc25a42	solute carrier family 25, member 42 [Source:MGI Symbol;Acc:MGI:1920345]	73095	ENSMUSG00000002346.16
protein_coding	Nr2f6	nuclear receptor subfamily 2, group F, member 6 [Source:MGI Symbol;Acc:MGI:1352453]	13864	ENSMUSG00000002393.14
protein_coding	Use1	unconventional SNARE in the ER 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914273]	67023	ENSMUSG00000002395.14
protein_coding	Ocel1	occludin/ELL domain containing 1 [Source:MGI Symbol;Acc:MGI:1924340]	77090	ENSMUSG00000002396.8
protein_coding	Dyrk1b	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b [Source:MGI Symbol;Acc:MGI:1330302]	13549	ENSMUSG00000002409.18
protein_coding	Braf	Braf transforming gene [Source:MGI Symbol;Acc:MGI:88190]	109880	ENSMUSG00000002413.15
protein_coding	Ndufb2	NADH:ubiquinone oxidoreductase subunit B2 [Source:MGI Symbol;Acc:MGI:1915448]	68198	ENSMUSG00000002416.13
protein_coding	Hltf	helicase-like transcription factor [Source:MGI Symbol;Acc:MGI:1196437]	20585	ENSMUSG00000002428.12
protein_coding	Prpf6	pre-mRNA splicing factor 6 [Source:MGI Symbol;Acc:MGI:1922946]	68879	ENSMUSG00000002455.14
protein_coding	Rgs20	regulator of G-protein signaling 20 [Source:MGI Symbol;Acc:MGI:1929866]	58175	ENSMUSG00000002459.17
protein_coding	Tchp	trichoplein, keratin filament binding [Source:MGI Symbol;Acc:MGI:1925082]	77832	ENSMUSG00000002486.15
protein_coding	Uck1	uridine-cytidine kinase 1 [Source:MGI Symbol;Acc:MGI:98904]	22245	ENSMUSG00000002550.16
protein_coding	Scin	scinderin [Source:MGI Symbol;Acc:MGI:1306794]	20259	ENSMUSG00000002565.16
protein_coding	Mien1	migration and invasion enhancer 1 [Source:MGI Symbol;Acc:MGI:1913678]	103742	ENSMUSG00000002580.7
protein_coding	Axl	AXL receptor tyrosine kinase [Source:MGI Symbol;Acc:MGI:1347244]	26362	ENSMUSG00000002602.16
protein_coding	Ccdc97	coiled-coil domain containing 97 [Source:MGI Symbol;Acc:MGI:1196455]	52132	ENSMUSG00000002608.8
protein_coding	Zfp40	zinc finger protein 40 [Source:MGI Symbol;Acc:MGI:99185]	22700	ENSMUSG00000002617.14
protein_coding	Shh	sonic hedgehog [Source:MGI Symbol;Acc:MGI:98297]	20423	ENSMUSG00000002633.4
protein_coding	Pdcd2l	programmed cell death 2-like [Source:MGI Symbol;Acc:MGI:1915329]	68079	ENSMUSG00000002635.11
protein_coding	Gtf2f1	general transcription factor IIF, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1923848]	98053	ENSMUSG00000002658.9
protein_coding	Alkbh7	alkB homolog 7 [Source:MGI Symbol;Acc:MGI:1913650]	66400	ENSMUSG00000002661.14
protein_coding	Med6	mediator complex subunit 6 [Source:MGI Symbol;Acc:MGI:1917042]	69792	ENSMUSG00000002679.14
protein_coding	Lcp2	lymphocyte cytosolic protein 2 [Source:MGI Symbol;Acc:MGI:1321402]	16822	ENSMUSG00000002699.13
protein_coding	Cse1l	chromosome segregation 1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1339951]	110750	ENSMUSG00000002718.14
protein_coding	Naa20	N(alpha)-acetyltransferase 20, NatB catalytic subunit [Source:MGI Symbol;Acc:MGI:1915127]	67877	ENSMUSG00000002728.14
protein_coding	Prkra	protein kinase, interferon inducible double stranded RNA dependent activator [Source:MGI Symbol;Acc:MGI:1344375]	23992	ENSMUSG00000002731.6
protein_coding	Fkbp7	FK506 binding protein 7 [Source:MGI Symbol;Acc:MGI:1336879]	14231	ENSMUSG00000002732.14
protein_coding	Plekha3	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3 [Source:MGI Symbol;Acc:MGI:1932515]	83435	ENSMUSG00000002733.8
protein_coding	Ykt6	YKT6 v-SNARE homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1927550]	56418	ENSMUSG00000002741.9
protein_coding	Baz1b	bromodomain adjacent to zinc finger domain, 1B [Source:MGI Symbol;Acc:MGI:1353499]	22385	ENSMUSG00000002748.7
protein_coding	Pex6	peroxisomal biogenesis factor 6 [Source:MGI Symbol;Acc:MGI:2385054]	224824	ENSMUSG00000002763.16
protein_coding	Mrpl2	mitochondrial ribosomal protein L2 [Source:MGI Symbol;Acc:MGI:1351622]	27398	ENSMUSG00000002767.13
protein_coding	Kdelr1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1 [Source:MGI Symbol;Acc:MGI:1915387]	68137	ENSMUSG00000002778.14
protein_coding	Tmem143	transmembrane protein 143 [Source:MGI Symbol;Acc:MGI:1917459]	70209	ENSMUSG00000002781.19
protein_coding	Ggct	gamma-glutamyl cyclotransferase [Source:MGI Symbol;Acc:MGI:95700]	110175	ENSMUSG00000002797.9
protein_coding	Flii	flightless I actin binding protein [Source:MGI Symbol;Acc:MGI:1342286]	14248	ENSMUSG00000002812.4
protein_coding	Top3a	topoisomerase (DNA) III alpha [Source:MGI Symbol;Acc:MGI:1197527]	21975	ENSMUSG00000002814.15
protein_coding	Timmdc1	translocase of inner mitochondrial membrane domain containing 1 [Source:MGI Symbol;Acc:MGI:1922139]	76916	ENSMUSG00000002846.9
protein_coding	Mcm2	minichromosome maintenance complex component 2 [Source:MGI Symbol;Acc:MGI:105380]	17216	ENSMUSG00000002870.8
protein_coding	Tpra1	transmembrane protein, adipocyte asscociated 1 [Source:MGI Symbol;Acc:MGI:1345190]	24100	ENSMUSG00000002871.14
protein_coding	Nab1	Ngfi-A binding protein 1 [Source:MGI Symbol;Acc:MGI:107564]	17936	ENSMUSG00000002881.14
protein_coding	Adgre5	adhesion G protein-coupled receptor E5 [Source:MGI Symbol;Acc:MGI:1347095]	26364	ENSMUSG00000002885.14
protein_coding	Il17ra	interleukin 17 receptor A [Source:MGI Symbol;Acc:MGI:107399]	16172	ENSMUSG00000002897.5
protein_coding	Cd36	CD36 molecule [Source:MGI Symbol;Acc:MGI:107899]	12491	ENSMUSG00000002944.15
protein_coding	Map2k7	mitogen-activated protein kinase kinase 7 [Source:MGI Symbol;Acc:MGI:1346871]	26400	ENSMUSG00000002948.19
protein_coding	Timm44	translocase of inner mitochondrial membrane 44 [Source:MGI Symbol;Acc:MGI:1343262]	21856	ENSMUSG00000002949.15
protein_coding	Ap2a2	adaptor-related protein complex 2, alpha 2 subunit [Source:MGI Symbol;Acc:MGI:101920]	11772	ENSMUSG00000002957.11
protein_coding	Pnkp	polynucleotide kinase 3'- phosphatase [Source:MGI Symbol;Acc:MGI:1891698]	59047	ENSMUSG00000002963.17
protein_coding	Bcam	basal cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1929940]	57278	ENSMUSG00000002980.14
protein_coding	Clptm1	cleft lip and palate associated transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1927155]	56457	ENSMUSG00000002981.10
protein_coding	Relb	avian reticuloendotheliosis viral (v-rel) oncogene related B [Source:MGI Symbol;Acc:MGI:103289]	19698	ENSMUSG00000002983.17
protein_coding	Tomm40	translocase of outer mitochondrial membrane 40 [Source:MGI Symbol;Acc:MGI:1858259]	53333	ENSMUSG00000002984.17
protein_coding	Apoe	apolipoprotein E [Source:MGI Symbol;Acc:MGI:88057]	11816	ENSMUSG00000002985.16
protein_coding	Hbp1	high mobility group box transcription factor 1 [Source:MGI Symbol;Acc:MGI:894659]	73389	ENSMUSG00000002996.17
protein_coding	Prkar2b	protein kinase, cAMP dependent regulatory, type II beta [Source:MGI Symbol;Acc:MGI:97760]	19088	ENSMUSG00000002997.15
protein_coding	Cdkn1b	cyclin-dependent kinase inhibitor 1B [Source:MGI Symbol;Acc:MGI:104565]	12576	ENSMUSG00000003031.14
protein_coding	Klf4	Kruppel-like factor 4 (gut) [Source:MGI Symbol;Acc:MGI:1342287]	16600	ENSMUSG00000003032.8
protein_coding	Rab8a	RAB8A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:96960]	17274	ENSMUSG00000003037.16
protein_coding	Hmgn2	high mobility group nucleosomal binding domain 2 [Source:MGI Symbol;Acc:MGI:96136]	15331	ENSMUSG00000003038.15
protein_coding	Efna2	ephrin A2 [Source:MGI Symbol;Acc:MGI:102707]	13637	ENSMUSG00000003070.6
protein_coding	Atp5d	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit [Source:MGI Symbol;Acc:MGI:1913293]	66043	ENSMUSG00000003072.15
protein_coding	Ppp5c	protein phosphatase 5, catalytic subunit [Source:MGI Symbol;Acc:MGI:102666]	19060	ENSMUSG00000003099.11
protein_coding	Cdk12	cyclin-dependent kinase 12 [Source:MGI Symbol;Acc:MGI:1098802]	69131	ENSMUSG00000003119.14
protein_coding	Lipe	lipase, hormone sensitive [Source:MGI Symbol;Acc:MGI:96790]	16890	ENSMUSG00000003123.15
protein_coding	Tbc1d8	TBC1 domain family, member 8 [Source:MGI Symbol;Acc:MGI:1927225]	54610	ENSMUSG00000003134.10
protein_coding	Cnot11	CCR4-NOT transcription complex, subunit 11 [Source:MGI Symbol;Acc:MGI:106580]	52846	ENSMUSG00000003135.15
protein_coding	Slc2a3	solute carrier family 2 (facilitated glucose transporter), member 3 [Source:MGI Symbol;Acc:MGI:95757]	20527	ENSMUSG00000003153.10
protein_coding	Foxj2	forkhead box J2 [Source:MGI Symbol;Acc:MGI:1926805]	60611	ENSMUSG00000003154.15
protein_coding	Sri	sorcin [Source:MGI Symbol;Acc:MGI:98419]	109552	ENSMUSG00000003161.15
protein_coding	Mpnd	MPN domain containing [Source:MGI Symbol;Acc:MGI:1915297]	68047	ENSMUSG00000003199.16
protein_coding	Car11	carbonic anhydrase 11 [Source:MGI Symbol;Acc:MGI:1336193]	12348	ENSMUSG00000003273.14
protein_coding	Glg1	golgi apparatus protein 1 [Source:MGI Symbol;Acc:MGI:104967]	20340	ENSMUSG00000003316.14
protein_coding	Btbd2	BTB (POZ) domain containing 2 [Source:MGI Symbol;Acc:MGI:1933831]	208198	ENSMUSG00000003344.14
protein_coding	Abhd17a	abhydrolase domain containing 17A [Source:MGI Symbol;Acc:MGI:106388]	216169	ENSMUSG00000003346.14
protein_coding	Pld3	phospholipase D family, member 3 [Source:MGI Symbol;Acc:MGI:1333782]	18807	ENSMUSG00000003363.15
protein_coding	Grik5	glutamate receptor, ionotropic, kainate 5 (gamma 2) [Source:MGI Symbol;Acc:MGI:95818]	14809	ENSMUSG00000003378.9
protein_coding	Rabac1	Rab acceptor 1 (prenylated) [Source:MGI Symbol;Acc:MGI:1201692]	14470	ENSMUSG00000003380.11
protein_coding	Etv3	ets variant 3 [Source:MGI Symbol;Acc:MGI:1350926]	27049	ENSMUSG00000003382.18
protein_coding	Rab3b	RAB3B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1917158]	69908	ENSMUSG00000003411.10
protein_coding	Fcgrt	Fc receptor, IgG, alpha chain transporter [Source:MGI Symbol;Acc:MGI:103017]	14132	ENSMUSG00000003420.8
protein_coding	Nosip	nitric oxide synthase interacting protein [Source:MGI Symbol;Acc:MGI:1913644]	66394	ENSMUSG00000003421.13
protein_coding	Pih1d1	PIH1 domain containing 1 [Source:MGI Symbol;Acc:MGI:1916095]	68845	ENSMUSG00000003423.15
protein_coding	Rps11	ribosomal protein S11 [Source:MGI Symbol;Acc:MGI:1351329]	27207	ENSMUSG00000003429.11
protein_coding	Supt5	suppressor of Ty 5, DSIF elongation factor subunit [Source:MGI Symbol;Acc:MGI:1202400]	20924	ENSMUSG00000003435.9
protein_coding	Paf1	Paf1, RNA polymerase II complex component [Source:MGI Symbol;Acc:MGI:1923988]	54624	ENSMUSG00000003437.14
protein_coding	Timm50	translocase of inner mitochondrial membrane 50 [Source:MGI Symbol;Acc:MGI:1913775]	66525	ENSMUSG00000003438.17
protein_coding	Med29	mediator complex subunit 29 [Source:MGI Symbol;Acc:MGI:1914474]	67224	ENSMUSG00000003444.8
protein_coding	Bicd1	BICD cargo adaptor 1 [Source:MGI Symbol;Acc:MGI:1101760]	12121	ENSMUSG00000003452.15
protein_coding	Ncstn	nicastrin [Source:MGI Symbol;Acc:MGI:1891700]	59287	ENSMUSG00000003458.12
protein_coding	Pex19	peroxisomal biogenesis factor 19 [Source:MGI Symbol;Acc:MGI:1334458]	19298	ENSMUSG00000003464.13
protein_coding	Impdh1	inosine monophosphate dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:96567]	23917	ENSMUSG00000003500.13
protein_coding	Dusp3	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related) [Source:MGI Symbol;Acc:MGI:1919599]	72349	ENSMUSG00000003518.13
protein_coding	Ddr1	discoidin domain receptor family, member 1 [Source:MGI Symbol;Acc:MGI:99216]	12305	ENSMUSG00000003534.17
protein_coding	Ier3	immediate early response 3 [Source:MGI Symbol;Acc:MGI:104814]	15937	ENSMUSG00000003541.6
protein_coding	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1 [Source:MGI Symbol;Acc:MGI:95412]	13870	ENSMUSG00000003549.9
protein_coding	Homer3	homer scaffolding protein 3 [Source:MGI Symbol;Acc:MGI:1347359]	26558	ENSMUSG00000003573.15
protein_coding	Crtc1	CREB regulated transcription coactivator 1 [Source:MGI Symbol;Acc:MGI:2142523]	382056	ENSMUSG00000003575.13
protein_coding	Rnf215	ring finger protein 215 [Source:MGI Symbol;Acc:MGI:1918923]	71673	ENSMUSG00000003581.14
protein_coding	Sec14l2	SEC14-like lipid binding 2 [Source:MGI Symbol;Acc:MGI:1915065]	67815	ENSMUSG00000003585.13
protein_coding	Aven	apoptosis, caspase activation inhibitor [Source:MGI Symbol;Acc:MGI:1921518]	74268	ENSMUSG00000003604.14
protein_coding	Cp	ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476]	12870	ENSMUSG00000003617.16
protein_coding	Crot	carnitine O-octanoyltransferase [Source:MGI Symbol;Acc:MGI:1921364]	74114	ENSMUSG00000003623.4
protein_coding	Rps6ka1	ribosomal protein S6 kinase polypeptide 1 [Source:MGI Symbol;Acc:MGI:104558]	20111	ENSMUSG00000003644.17
protein_coding	Snrnp200	small nuclear ribonucleoprotein 200 (U5) [Source:MGI Symbol;Acc:MGI:2444401]	320632	ENSMUSG00000003660.10
protein_coding	Ciao1	cytosolic iron-sulfur protein assembly 1 [Source:MGI Symbol;Acc:MGI:1346998]	26371	ENSMUSG00000003662.10
protein_coding	Insig2	insulin induced gene 2 [Source:MGI Symbol;Acc:MGI:1920249]	72999	ENSMUSG00000003721.14
protein_coding	Kpna6	karyopherin (importin) alpha 6 [Source:MGI Symbol;Acc:MGI:1100836]	16650	ENSMUSG00000003731.13
protein_coding	Coq8b	coenzyme Q8B [Source:MGI Symbol;Acc:MGI:1924139]	76889	ENSMUSG00000003762.13
protein_coding	Brd8	bromodomain containing 8 [Source:MGI Symbol;Acc:MGI:1925906]	78656	ENSMUSG00000003778.14
protein_coding	Farsa	phenylalanyl-tRNA synthetase, alpha subunit [Source:MGI Symbol;Acc:MGI:1913840]	66590	ENSMUSG00000003808.18
protein_coding	Gcdh	glutaryl-Coenzyme A dehydrogenase [Source:MGI Symbol;Acc:MGI:104541]	270076	ENSMUSG00000003809.14
protein_coding	Dnase2a	deoxyribonuclease II alpha [Source:MGI Symbol;Acc:MGI:1329019]	13423	ENSMUSG00000003812.13
protein_coding	Rad23a	RAD23 homolog A, nucleotide excision repair protein [Source:MGI Symbol;Acc:MGI:105126]	19358	ENSMUSG00000003813.15
protein_coding	Calr	calreticulin [Source:MGI Symbol;Acc:MGI:88252]	12317	ENSMUSG00000003814.8
protein_coding	Nfat5	nuclear factor of activated T cells 5 [Source:MGI Symbol;Acc:MGI:1859333]	54446	ENSMUSG00000003847.16
protein_coding	Nob1	NIN1/RPN12 binding protein 1 homolog [Source:MGI Symbol;Acc:MGI:1914869]	67619	ENSMUSG00000003848.14
protein_coding	Nqo1	NAD(P)H dehydrogenase, quinone 1 [Source:MGI Symbol;Acc:MGI:103187]	18104	ENSMUSG00000003849.8
protein_coding	Ppfia3	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3 [Source:MGI Symbol;Acc:MGI:1924037]	76787	ENSMUSG00000003863.18
protein_coding	Gys1	glycogen synthase 1, muscle [Source:MGI Symbol;Acc:MGI:101805]	14936	ENSMUSG00000003865.16
protein_coding	Ruvbl2	RuvB-like protein 2 [Source:MGI Symbol;Acc:MGI:1342299]	20174	ENSMUSG00000003868.14
protein_coding	Lin7b	lin-7 homolog B (C. elegans) [Source:MGI Symbol;Acc:MGI:1330858]	22342	ENSMUSG00000003872.9
protein_coding	Bax	BCL2-associated X protein [Source:MGI Symbol;Acc:MGI:99702]	12028	ENSMUSG00000003873.11
protein_coding	Tfam	transcription factor A, mitochondrial [Source:MGI Symbol;Acc:MGI:107810]	21780	ENSMUSG00000003923.14
protein_coding	Mmd	monocyte to macrophage differentiation-associated [Source:MGI Symbol;Acc:MGI:1914718]	67468	ENSMUSG00000003948.17
protein_coding	Hlf	hepatic leukemia factor [Source:MGI Symbol;Acc:MGI:96108]	217082	ENSMUSG00000003949.16
protein_coding	Brinp2	bone morphogenic protein/retinoic acid inducible neural-specific 2 [Source:MGI Symbol;Acc:MGI:2443333]	240843	ENSMUSG00000004031.13
protein_coding	Gstm5	glutathione S-transferase, mu 5 [Source:MGI Symbol;Acc:MGI:1309466]	14866	ENSMUSG00000004032.10
protein_coding	Stat3	signal transducer and activator of transcription 3 [Source:MGI Symbol;Acc:MGI:103038]	20848	ENSMUSG00000004040.16
protein_coding	Stat5a	signal transducer and activator of transcription 5A [Source:MGI Symbol;Acc:MGI:103036]	20850	ENSMUSG00000004043.14
protein_coding	Cavin1	caveolae associated 1 [Source:MGI Symbol;Acc:MGI:1277968]	19285	ENSMUSG00000004044.9
protein_coding	Akt2	thymoma viral proto-oncogene 2 [Source:MGI Symbol;Acc:MGI:104874]	11652	ENSMUSG00000004056.15
protein_coding	Hmox2	heme oxygenase 2 [Source:MGI Symbol;Acc:MGI:109373]	15369	ENSMUSG00000004070.15
protein_coding	Map3k20	mitogen-activated protein kinase kinase kinase 20 [Source:MGI Symbol;Acc:MGI:2443258]	65964	ENSMUSG00000004085.14
protein_coding	Col5a3	collagen, type V, alpha 3 [Source:MGI Symbol;Acc:MGI:1858212]	53867	ENSMUSG00000004098.7
protein_coding	Angptl2	angiopoietin-like 2 [Source:MGI Symbol;Acc:MGI:1347002]	26360	ENSMUSG00000004105.8
protein_coding	Cacna1b	calcium channel, voltage-dependent, N type, alpha 1B subunit [Source:MGI Symbol;Acc:MGI:88296]	12287	ENSMUSG00000004113.18
protein_coding	Trmt10a	tRNA methyltransferase 10A [Source:MGI Symbol;Acc:MGI:1920421]	108943	ENSMUSG00000004127.12
protein_coding	Psap	prosaposin [Source:MGI Symbol;Acc:MGI:97783]	19156	ENSMUSG00000004207.14
protein_coding	Ikbkg	inhibitor of kappaB kinase gamma [Source:MGI Symbol;Acc:MGI:1338074]	16151	ENSMUSG00000004221.16
protein_coding	Atn1	atrophin 1 [Source:MGI Symbol;Acc:MGI:104725]	13498	ENSMUSG00000004263.15
protein_coding	Phb2	prohibitin 2 [Source:MGI Symbol;Acc:MGI:102520]	12034	ENSMUSG00000004264.17
protein_coding	Eno2	enolase 2, gamma neuronal [Source:MGI Symbol;Acc:MGI:95394]	13807	ENSMUSG00000004267.16
protein_coding	Emg1	EMG1 N1-specific pseudouridine methyltransferase [Source:MGI Symbol;Acc:MGI:1315195]	14791	ENSMUSG00000004268.11
protein_coding	Lpcat3	lysophosphatidylcholine acyltransferase 3 [Source:MGI Symbol;Acc:MGI:1315211]	14792	ENSMUSG00000004270.13
protein_coding	Atp6v1f	ATPase, H+ transporting, lysosomal V1 subunit F [Source:MGI Symbol;Acc:MGI:1913394]	66144	ENSMUSG00000004285.12
protein_coding	Clcn5	chloride channel, voltage-sensitive 5 [Source:MGI Symbol;Acc:MGI:99486]	12728	ENSMUSG00000004317.14
protein_coding	Clcn3	chloride channel, voltage-sensitive 3 [Source:MGI Symbol;Acc:MGI:103555]	12725	ENSMUSG00000004319.15
protein_coding	Cul3	cullin 3 [Source:MGI Symbol;Acc:MGI:1347360]	26554	ENSMUSG00000004364.14
protein_coding	Ddx56	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56 [Source:MGI Symbol;Acc:MGI:1277172]	52513	ENSMUSG00000004393.10
protein_coding	Tmed4	transmembrane p24 trafficking protein 4 [Source:MGI Symbol;Acc:MGI:1915070]	103694	ENSMUSG00000004394.12
protein_coding	Col26a1	collagen, type XXVI, alpha 1 [Source:MGI Symbol;Acc:MGI:2155345]	140709	ENSMUSG00000004415.15
protein_coding	Bid	BH3 interacting domain death agonist [Source:MGI Symbol;Acc:MGI:108093]	12122	ENSMUSG00000004446.12
protein_coding	Ralb	v-ral simian leukemia viral oncogene B [Source:MGI Symbol;Acc:MGI:1927244]	64143	ENSMUSG00000004451.14
protein_coding	Zfp324	zinc finger protein 324 [Source:MGI Symbol;Acc:MGI:2444641]	243834	ENSMUSG00000004500.9
protein_coding	Gab2	growth factor receptor bound protein 2-associated protein 2 [Source:MGI Symbol;Acc:MGI:1333854]	14389	ENSMUSG00000004508.6
protein_coding	Coro1c	coronin, actin binding protein 1C [Source:MGI Symbol;Acc:MGI:1345964]	23790	ENSMUSG00000004530.12
protein_coding	Tax1bp1	Tax1 (human T cell leukemia virus type I) binding protein 1 [Source:MGI Symbol;Acc:MGI:1289308]	52440	ENSMUSG00000004535.12
protein_coding	Mettl17	methyltransferase like 17 [Source:MGI Symbol;Acc:MGI:1098577]	52535	ENSMUSG00000004561.14
protein_coding	Arhgef40	Rho guanine nucleotide exchange factor (GEF) 40 [Source:MGI Symbol;Acc:MGI:2685515]	268739	ENSMUSG00000004562.16
protein_coding	Pnpla6	patatin-like phospholipase domain containing 6 [Source:MGI Symbol;Acc:MGI:1354723]	50767	ENSMUSG00000004565.15
protein_coding	Mcoln1	mucolipin 1 [Source:MGI Symbol;Acc:MGI:1890498]	94178	ENSMUSG00000004567.16
protein_coding	Pkn2	protein kinase N2 [Source:MGI Symbol;Acc:MGI:109211]	109333	ENSMUSG00000004591.16
protein_coding	Etfb	electron transferring flavoprotein, beta polypeptide [Source:MGI Symbol;Acc:MGI:106098]	110826	ENSMUSG00000004610.4
protein_coding	Sgce	sarcoglycan, epsilon [Source:MGI Symbol;Acc:MGI:1329042]	20392	ENSMUSG00000004631.15
protein_coding	Chn2	chimerin 2 [Source:MGI Symbol;Acc:MGI:1917243]	69993	ENSMUSG00000004633.17
protein_coding	Wwox	WW domain-containing oxidoreductase [Source:MGI Symbol;Acc:MGI:1931237]	80707	ENSMUSG00000004637.15
protein_coding	Slbp	stem-loop binding protein [Source:MGI Symbol;Acc:MGI:108402]	20492	ENSMUSG00000004642.13
protein_coding	Tyr	tyrosinase [Source:MGI Symbol;Acc:MGI:98880]	22173	ENSMUSG00000004651.6
protein_coding	Aqp1	aquaporin 1 [Source:MGI Symbol;Acc:MGI:103201]	11826	ENSMUSG00000004655.5
protein_coding	Arid3b	AT rich interactive domain 3B (BRIGHT-like) [Source:MGI Symbol;Acc:MGI:1930768]	56380	ENSMUSG00000004661.15
protein_coding	Cnn2	calponin 2 [Source:MGI Symbol;Acc:MGI:105093]	12798	ENSMUSG00000004665.10
protein_coding	Polr2e	polymerase (RNA) II (DNA directed) polypeptide E [Source:MGI Symbol;Acc:MGI:1913670]	66420	ENSMUSG00000004667.18
protein_coding	Mtfp1	mitochondrial fission process 1 [Source:MGI Symbol;Acc:MGI:1916686]	67900	ENSMUSG00000004748.5
protein_coding	Rab23	RAB23, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:99833]	19335	ENSMUSG00000004768.14
